
=== Spec A ===  one-layer a1=0.571533
  n=4 L= 5 sigma=+1  infeasible  [11 start-types, 11 starts, 9.28s]
  n=4 L= 5 sigma=-1  infeasible  [11 start-types, 11 starts, 6.42s]
  n=4 L= 6 sigma=+1  infeasible  [11 start-types, 11 starts, 21.15s]
  n=4 L= 6 sigma=-1  delta=2.229996e-03  [11 start-types, 11 starts, 15.65s]
  n=4 L= 7 sigma=+1  infeasible  [11 start-types, 11 starts, 8.57s]
  n=4 L= 7 sigma=-1  infeasible  [11 start-types, 11 starts, 8.86s]
  n=4 L= 8 sigma=+1  infeasible  [11 start-types, 11 starts, 18.34s]
  n=4 L= 8 sigma=-1  infeasible  [11 start-types, 11 starts, 21.59s]
  n=4 L= 9 sigma=+1  infeasible  [11 start-types, 11 starts, 6.60s]
  n=4 L= 9 sigma=-1  infeasible  [11 start-types, 11 starts, 15.78s]
  n=4 L=10 sigma=+1  infeasible  [11 start-types, 11 starts, 16.26s]
  n=4 L=10 sigma=-1  infeasible  [11 start-types, 11 starts, 16.63s]
  n=4 L=11 sigma=+1  infeasible  [11 start-types, 11 starts, 9.90s]
  n=4 L=11 sigma=-1  infeasible  [11 start-types, 11 starts, 9.06s]
  n=4 L=12 sigma=+1  infeasible  [11 start-types, 11 starts, 11.09s]
  n=4 L=12 sigma=-1  infeasible  [11 start-types, 11 starts, 10.59s]
  checkpointed through n=4 -> ../data/e2_results.json
  n=5 L= 6 sigma=+1  infeasible  [12 start-types, 12 starts, 26.50s]
  n=5 L= 6 sigma=-1  delta=3.231192e-05  [12 start-types, 12 starts, 27.29s]
  n=5 L= 7 sigma=+1  infeasible  [12 start-types, 12 starts, 12.88s]
  n=5 L= 7 sigma=-1  infeasible  [12 start-types, 12 starts, 14.33s]
  n=5 L= 8 sigma=+1  delta=1.663364e-02  [12 start-types, 12 starts, 23.09s]
  n=5 L= 8 sigma=-1  infeasible  [12 start-types, 12 starts, 31.62s]
  n=5 L= 9 sigma=+1  infeasible  [12 start-types, 12 starts, 9.89s]
  n=5 L= 9 sigma=-1  infeasible  [12 start-types, 12 starts, 21.69s]
  n=5 L=10 sigma=+1  infeasible  [12 start-types, 12 starts, 28.92s]
  n=5 L=10 sigma=-1  infeasible  [12 start-types, 12 starts, 32.05s]
  n=5 L=11 sigma=+1  infeasible  [12 start-types, 12 starts, 14.96s]
  n=5 L=11 sigma=-1  infeasible  [12 start-types, 12 starts, 22.51s]
  n=5 L=12 sigma=+1  infeasible  [12 start-types, 12 starts, 25.95s]
  n=5 L=12 sigma=-1  infeasible  [12 start-types, 12 starts, 38.14s]
  checkpointed through n=5 -> ../data/e2_results.json
  n=6 L= 7 sigma=+1  infeasible  [11 start-types, 11 starts, 18.69s]
  n=6 L= 7 sigma=-1  infeasible  [11 start-types, 11 starts, 12.83s]
  n=6 L= 8 sigma=+1  delta=5.618444e-04  [11 start-types, 11 starts, 35.12s]
  n=6 L= 8 sigma=-1  infeasible  [11 start-types, 11 starts, 33.19s]
  n=6 L= 9 sigma=+1  infeasible  [11 start-types, 11 starts, 21.97s]
  n=6 L= 9 sigma=-1  infeasible  [11 start-types, 11 starts, 15.78s]
  n=6 L=10 sigma=+1  infeasible  [11 start-types, 11 starts, 39.72s]
  n=6 L=10 sigma=-1  infeasible  [11 start-types, 11 starts, 49.37s]
  n=6 L=11 sigma=+1  infeasible  [11 start-types, 11 starts, 15.59s]
  n=6 L=11 sigma=-1  infeasible  [11 start-types, 11 starts, 18.81s]
  n=6 L=12 sigma=+1  infeasible  [11 start-types, 11 starts, 47.19s]
  n=6 L=12 sigma=-1  infeasible  [11 start-types, 11 starts, 39.84s]
  checkpointed through n=6 -> ../data/e2_results.json

total E2 time: 2482.1s
saved data/e2_results.json
